A-200 Shampoo Concentrate	guess=drug	gold=	confidence=0.8748324827817325
Example:	ULTRAbrom PD	guess=drug	gold=	confidence=0.7863035853934286
Example:	Uni-Multihist D 23	guess=drug	gold=	confidence=0.9932341472159231
Example:	Univasc	guess=company	gold=	confidence=0.2948604730954265
Example:	Urex	guess=drug	gold=	confidence=0.5627789950982908
Example:	Urimed	guess=drug	gold=	confidence=0.40249680996818954
Example:	Uro-Ves	guess=drug	gold=	confidence=0.6654945830205223
Example:	Urocit-K	guess=drug	gold=	confidence=0.8444028329479029
Example:	Uvadex	guess=drug	gold=	confidence=0.3944673404055107
Example:	Valertest No. 1	guess=drug	gold=	confidence=0.800663388967887
Example:	Vancenase	guess=place	gold=	confidence=0.44063652078345666
Example:	Vaseline Extra Defense for Hand and Body 41	guess=drug	gold=	confidence=0.6138345430831452
Example:	Vasocon Regular	guess=drug	gold=	confidence=0.5232562436568057
Example:	Vasotec	guess=drug	gold=	confidence=0.7469247753897127
Example:	Veetids 13	guess=drug	gold=	confidence=0.9750355733644627
Example:	Versel Lotion	guess=movie	gold=	confidence=0.4935439166898311
Example:	Vicks Children's NyQuil Cold/Cough Relief 33	guess=drug	gold=	confidence=0.9790401848002919
Example:	Vicks DayQuil Sinus Pressure and Congestion Relief Caplets 141	guess=drug	gold=	confidence=0.938475150669776
Example:	Vicks NyQuil Multi-Symptom Cold/Flu LiquiCaps 60	guess=drug	gold=	confidence=0.9983619524756473
Example:	Vicks Sinex 12-Hour Ultra Fine Mist for Sinus Relief	guess=movie	gold=	confidence=0.5096547715420157
Example:	Vioform-Hydrocortisone Mild Cream	guess=drug	gold=	confidence=0.5939049460277896
Example:	Vioform-Hydrocortisone Ointment	guess=drug	gold=	confidence=0.7397068566925991
Example:	VIRACEPT	guess=drug	gold=	confidence=0.6531025627171909
Example:	Virazole	guess=drug	gold=	confidence=0.37120328304017647
Example:	Visken 11	guess=drug	gold=	confidence=0.9270158579563839
Example:	Vumon	guess=place	gold=	confidence=0.3995834953820051
Example:	Wintrocin	guess=place	gold=	confidence=0.5278225111344476
Example:	Xerac BP 5	guess=drug	gold=	confidence=0.6218112040328492
Example:	Xylocaine-MPF	guess=drug	gold=	confidence=0.9425662589601198
Example:	Yohimar	guess=place	gold=	confidence=0.4409198262486825
Example:	Z-Plus	guess=drug	gold=	confidence=0.643445914114679
Example:	Zanosar	guess=place	gold=	confidence=0.3381542070515298
Example:	Zephrex-LA 142	guess=drug	gold=	confidence=0.9999134531348437
Example:	Zerit	guess=drug	gold=	confidence=0.37727483975443643
Example:	Ziagen	guess=place	gold=	confidence=0.28649155898918865
Example:	Zincate	guess=drug	gold=	confidence=0.5607005455945477
Example:	Zyflo	guess=drug	gold=	confidence=0.3397443213401495
Example:	Zyrtec	guess=drug	gold=	confidence=0.42109061497076095
Example:	Aarno Karimo	guess=person	gold=	confidence=0.481865266459354
Example:	Abdullah Ibn Sailam	guess=person	gold=	confidence=0.674869320234456
Example:	Abdullah ibn Masud	guess=person	gold=	confidence=0.7376155304237529
Example:	Abraham Robinson	guess=person	gold=	confidence=0.5831113186517235
Example:	Abu-d Dardaa	guess=person	gold=	confidence=0.4919494021990236
Example:	Adeodatus	guess=place	gold=	confidence=0.52623204125679
Example:	Adriaan Vlacq	guess=drug	gold=	confidence=0.5459390416894428
Example:	Adrian I	guess=company	gold=	confidence=0.3641868082272722
Example:	Alain Connes	guess=company	gold=	confidence=0.49675027743056477
Example:	Alan Baker	guess=person	gold=	confidence=0.4779083262768991
Example:	Alan L. Bean	guess=person	gold=	confidence=0.39958813102821467
Example:	Alberta Hunter	guess=person	gold=	confidence=0.6744223788856347
Example:	Albrecht Kossel	guess=person	gold=	confidence=0.7488455850238187
Example:	Alessandro Volta	guess=person	gold=	confidence=0.8881166184773422
Example:	Alexander IV	guess=person	gold=	confidence=0.9156862770423688
Example:	Alexander Weinstein	guess=person	gold=	confidence=0.8750866319884135
Example:	Alexis M. Herman	guess=person	gold=	confidence=0.914724742144907
Example:	Alfred Hermann Fried	guess=person	gold=	confidence=0.7928377721163491
Example:	Alfred Werner	guess=person	gold=	confidence=0.6854716281273153
Example:	Alfred von Tirpitz	guess=person	gold=	confidence=0.5231078254494151
Example:	Alice Hayes	guess=movie	gold=	confidence=0.4968371063572809
Example:	Althea Gibson	guess=person	gold=	confidence=0.37303991955206034
Example:	Alvin "Red" Tyler	guess=person	gold=	confidence=0.6096926566912745
Example:	Amelia Earhart	guess=movie	gold=	confidence=0.5225296133667207
Example:	Andrew Bonar Law	guess=person	gold=	confidence=0.871740753438743
Example:	Andrew Johnson	guess=person	gold=	confidence=0.9216100565027305
Example:	Anne Heche	guess=person	gold=	confidence=0.5678476513360668
Example:	Antoni Zygmund	guess=drug	gold=	confidence=0.425331651185787
Example:	Apollo	guess=drug	gold=	confidence=0.8346975956951653
Example:	Archer John Porter Martin	guess=person	gold=	confidence=0.834114752392695
Example:	Arthur Kornberg	guess=person	gold=	confidence=0.7557568402155246
Example:	Arthur Lakes	guess=person	gold=	confidence=0.6686419019980757
Example:	Athene	guess=place	gold=	confidence=0.45727021948504576
Example:	Atle Selberg	guess=drug	gold=	confidence=0.3295291038211324
Example:	August Blanche	guess=person	gold=	confidence=0.7008817010559462
Example:	Barakah	guess=place	gold=	confidence=0.5515013933234895
Example:	Barbara Welther	guess=person	gold=	confidence=0.5182495072146887
Example:	Baruj Benacerraf	guess=person	gold=	confidence=0.5229520454796964
Example:	Ben Kingsley	guess=person	gold=	confidence=0.877223267556617
Example:	Benedict I	guess=person	gold=	confidence=0.5540858660869972
Example:	Benjamin Banneker	guess=person	gold=	confidence=0.8515968325119696
Example:	Benjamin Waterhouse Hawkins	guess=person	gold=	confidence=0.8779261194269993
Example:	Benoit Mandelbrot	guess=person	gold=	confidence=0.5034956462354309
Example:	Bernt Holmboe	guess=person	gold=	confidence=0.4199901676161162
Example:	Betty Williams	guess=person	gold=	confidence=0.4108745410541617
Example:	Bill Pullman	guess=person	gold=	confidence=0.5783267871375265
Example:	Bill Wilson	guess=person	gold=	confidence=0.7695773693252459
Example:	Billy Graham	guess=person	gold=	confidence=0.7058796218334112
Example:	Billy Hamilton	guess=person	gold=	confidence=0.5536584699172945
Example:	Blaise Pascal	guess=movie	gold=	confidence=0.874694636593868
Example:	Blessed Innocent XI	guess=person	gold=	confidence=0.44142755821970087
Example:	Bob Dylan	guess=person	gold=	confidence=0.6466323498386817
Example:	Bob Gibson	guess=person	gold=	confidence=0.6902993392680101
Example:	Bob Haggart	guess=person	gold=	confidence=0.5349220135259349
Example:	Boniface II	guess=company	gold=	confidence=0.37601171112586235
Example:	Bonnie J. Dunbar	guess=person	gold=	confidence=0.8966311760500374
Example:	Boris Delone	guess=movie	gold=	confidence=0.4501658259419492
Example:	Branwell Bront�	guess=place	gold=	confidence=0.5613798744425813
Example:	Bruce Willis	guess=person	gold=	confidence=0.5063395572609017
Example:	Bud Freeman	guess=person	gold=	confidence=0.3946055421324673
Example:	Buffon	guess=place	gold=	confidence=0.6036076256151015
Example:	C de la Vall�e Poussin	guess=movie	gold=	confidence=0.4879032096786311
Example:	C. Mathewson	guess=person	gold=	confidence=0.2656365162123132
Example:	Cal Ripken, Jr.	guess=company	gold=	confidence=0.8543856333781328
Example:	Caleb Carr	guess=company	gold=	confidence=0.49918590112025296
Example:	Campanus of Novara	guess=company	gold=	confidence=0.43928372821198497
Example:	Candice Bergen	guess=company	gold=	confidence=0.27139655154464665
Example:	Carl Ferdinand Cori	guess=person	gold=	confidence=0.43445782349977474
Example:	Carl Gustaf Verner Von Heidenstam	guess=person	gold=	confidence=0.9086412501097142
Example:	Caroline Chisholm	guess=person	gold=	confidence=0.4970377502053171
Example:	Carroll J. Guillory	guess=person	gold=	confidence=0.952648884352022
Example:	Catfish Hunter	guess=place	gold=	confidence=0.3364992233937178
Example:	Celestine II	guess=company	gold=	confidence=0.7241980862494183
Example:	Celestine IV	guess=person	gold=	confidence=0.3614811470253764
Example:	Charles Brianchon	guess=person	gold=	confidence=0.5902087513479405
Example:	Charles Delaunay	guess=person	gold=	confidence=0.6151953975023403
Example:	Charles Dodgson	guess=person	gold=	confidence=0.49596555095006467
Example:	Charles E. Brady, Jr.	guess=person	gold=	confidence=0.6567679612383049
Example:	Charles Jagger	guess=person	gold=	confidence=0.8148174711640002
Example:	Charles Louis Alphonse Laveran	guess=person	gold=	confidence=0.8208717710148493
Example:	Charles Pears	guess=person	gold=	confidence=0.6176339953136637
Example:	Charles Reyneau	guess=person	gold=	confidence=0.6292205975291885
Example:	Charlie Chaplin	guess=person	gold=	confidence=0.4939533334476562
Example:	Charlotte Scott	guess=drug	gold=	confidence=0.3389522613614145
Example:	Cher	guess=place	gold=	confidence=0.4746667780655916
Example:	Chester W. Nimitz	guess=company	gold=	confidence=0.40553428855229917
Example:	Chevy Chase	guess=person	gold=	confidence=0.2497540279942798
Example:	Christina Ricci	guess=person	gold=	confidence=0.47267430788207027
Example:	Christopher Clavius	guess=person	gold=	confidence=0.6257537319289742
Example:	Christopher Marlowe	guess=person	gold=	confidence=0.6312528857911976
Example:	Claude Debussy	guess=person	gold=	confidence=0.766910028173274
Example:	Claude Dechales	guess=person	gold=	confidence=0.7046511614736782
Example:	Clement III	guess=company	gold=	confidence=0.6706181556106195
Example:	Cleopatra VII	guess=drug	gold=	confidence=0.3488644674646926
Example:	Clouet	guess=drug	gold=	confidence=0.376839889201799
Example:	Colonel Mary A. Hallaren	guess=company	gold=	confidence=0.45762893937170146
Example:	Conon	guess=place	gold=	confidence=0.41648803265346823
Example:	D'alembert	guess=movie	gold=	confidence=0.3561577241112776
Example:	Daniel M. Tani	guess=person	gold=	confidence=0.6999516761096457
Example:	David Bomberg	guess=person	gold=	confidence=0.7637837160863197
Example:	David H. Hubel	guess=person	gold=	confidence=0.9449227122918145
Example:	David Lloyd George	guess=person	gold=	confidence=0.8083613635582064
Example:	David R. Williams	guess=person	gold=	confidence=0.896306377480985
Example:	David Spade	guess=person	gold=	confidence=0.6396588664926135
Example:	Deepak Chopra	guess=movie	gold=	confidence=0.2823518459315836
Example:	Democritus of Abdera	guess=movie	gold=	confidence=0.5900384189715208
Example:	Dianne Feinstein	guess=drug	gold=	confidence=0.46922502999553256
Example:	Dickinson W. Richards	guess=person	gold=	confidence=0.5583909882239677
Example:	Dimitri Egorov	guess=drug	gold=	confidence=0.48295659615252573
Example:	Dirk Bouts	guess=movie	gold=	confidence=0.5383308781197597
Example:	Don Carlos Buell	guess=person	gold=	confidence=0.7296681593658336
Example:	Dr. Dean Ornish	guess=person	gold=	confidence=0.8098931376357971
Example:	Earl of Aberdeen	guess=person	gold=	confidence=0.5083083805690458
Example:	Eddie Arcaro	guess=person	gold=	confidence=0.41749558667003456
Example:	Eddie Plank	guess=person	gold=	confidence=0.488736480053159
Example:	Edmund Kirby Smith	guess=person	gold=	confidence=0.837900848949763
Example:	Edouard Manet	guess=person	gold=	confidence=0.36119315679713354
Example:	Edward Drinker Cope	guess=person	gold=	confidence=0.9038954587437403
Example:	Edward I	guess=person	gold=	confidence=0.9042255300671028
Example:	Edward III	guess=person	gold=	confidence=0.7650278180916394
Example:	Edward Ory	guess=person	gold=	confidence=0.9070637790936275
Example:	Edward V	guess=person	gold=	confidence=0.9528073114163058
Example:	Edwin G. Krebs	guess=person	gold=	confidence=0.9789086838049169
Example:	Elias Canetti	guess=person	gold=	confidence=0.3902276870935724
Example:	Elie Wiesel	guess=person	gold=	confidence=0.7960667671835443
Example:	Elisabeth Kuber Ross	guess=person	gold=	confidence=0.9304079958373493
Example:	Elizabeth Virginia Wallace Truman	guess=person	gold=	confidence=0.8444463673114608
Example:	Ellen S. Baker	guess=person	gold=	confidence=0.6727339183794658
Example:	Elton John	guess=person	gold=	confidence=0.7426350260726315
Example:	Emmy Noether	guess=person	gold=	confidence=0.326045180416229
Example:	Empedocles	guess=drug	gold=	confidence=0.36131435371367104
Example:	Eric F. Wieschaus	guess=person	gold=	confidence=0.6802677454437984
Example:	Eric Heiden	guess=person	gold=	confidence=0.6285451531210735
Example:	Erich Hecke	guess=person	gold=	confidence=0.6743566090662747
Example:	Erik Zeeman	guess=person	gold=	confidence=0.5541763178896495
Example:	Erland Bring	guess=person	gold=	confidence=0.48040613389279413
Example:	Ernest Miller Hemingway	guess=person	gold=	confidence=0.9136391570415777
Example:	Ernie Lombardi	guess=person	gold=	confidence=0.8549029057712357
Example:	Erwin Freundlich	guess=person	gold=	confidence=0.5955433041643903
Example:	Estee Lauder	guess=drug	gold=	confidence=0.3359547663823369
Example:	Etienne Pascal	guess=drug	gold=	confidence=0.3259642612766776
Example:	F. E. Sillanp��	guess=person	gold=	confidence=0.4441568422506671
Example:	Florence Sabin	guess=drug	gold=	confidence=0.48842409622485605
Example:	Francesco Cantelli	guess=person	gold=	confidence=0.6875402416839519
Example:	Francis Galton	guess=person	gold=	confidence=0.8760786656579116
Example:	Francois Tisserand	guess=person	gold=	confidence=0.8700886647341283
Example:	Frank McCourt	guess=person	gold=	confidence=0.8720127340477922
Example:	Fred W. Haise	guess=person	gold=	confidence=0.5703616540067658
Example:	Frederick Soddy	guess=movie	gold=	confidence=0.5729793039055198
Example:	Friedrich Schottky	guess=movie	gold=	confidence=0.37548033196208785
Example:	Fr�d�ric Bazille	guess=person	gold=	confidence=0.5998783480115447
Example:	G F Bernhard Riemann	guess=person	gold=	confidence=0.5946047070952378
Example:	G N Watson	guess=company	gold=	confidence=0.4463303255319572
Example:	G de Roberval Personne	guess=person	gold=	confidence=0.4712533811603712
Example:	G. David Low	guess=person	gold=	confidence=0.4487756684384965
Example:	Gabriel Koenigs	guess=person	gold=	confidence=0.6949410163889752
Example:	Gabriela Mistral	guess=person	gold=	confidence=0.5825696640552748
Example:	Galahad	guess=place	gold=	confidence=0.53502820357066
Example:	Genevieve M. Knight	guess=person	gold=	confidence=0.49195735044782934
Example:	Georg Scheffers	guess=person	gold=	confidence=0.9520750228888173
Example:	George Atwood	guess=person	gold=	confidence=0.9577684719003963
Example:	George Bernard Shaw	guess=person	gold=	confidence=0.9921210506968855
Example:	George Canning	guess=person	gold=	confidence=0.9287639469049189
Example:	George Darwin	guess=person	gold=	confidence=0.9844486034653768
Example:	George Foster	guess=person	gold=	confidence=0.9614516983787667
Example:	George Washington	guess=person	gold=	confidence=0.9566641185312921
Example:	Georges Comte de Buffon	guess=person	gold=	confidence=0.9525602347634792
Example:	Georgii Pfeiffer	guess=person	gold=	confidence=0.9460225187797432
Example:	Georgii Polozii	guess=person	gold=	confidence=0.9678527811476075
Example:	Gerhard Domagk	guess=person	gold=	confidence=0.4857556854931084
Example:	Gerhard Gentzen	guess=person	gold=	confidence=0.6322497090684106
Example:	Germinal Dandelin	guess=person	gold=	confidence=0.4749787217993227
Example:	Gertrude B. Elion Perlman	guess=person	gold=	confidence=0.6496661194880776
Example:	Gertrude Rainey	guess=person	gold=	confidence=0.590787072554859
Example:	Giovanni Saccheri	guess=person	gold=	confidence=0.5205311318671744
Example:	Giovanni Vacca	guess=person	gold=	confidence=0.5111535982870264
Example:	Giulio Natta	guess=person	gold=	confidence=0.29512253331946275
Example:	Giuseppe Bruno	guess=person	gold=	confidence=0.40725445306952635
Example:	Giuseppe Veronese	guess=person	gold=	confidence=0.45299299863367243
Example:	Goerg Henrik Von Wright	guess=person	gold=	confidence=0.7344541613034951
Example:	Gorlois	guess=place	gold=	confidence=0.37927873989327276
Example:	Gregory IX	guess=person	gold=	confidence=0.4978222838523127
Example:	Gregory VI	guess=person	gold=	confidence=0.5422858452512527
Example:	Gregory VIII	guess=company	gold=	confidence=0.5094966673838582
Example:	Gustav Hertz	guess=person	gold=	confidence=0.6953438326332196
Example:	Gustav Stresemann	guess=person	gold=	confidence=0.46023146196752374
Example:	Hank Greenberg	guess=person	gold=	confidence=0.6915779344714873
Example:	Hank Williams	guess=person	gold=	confidence=0.6883165319764927
Example:	Hans Baldung Grien	guess=person	gold=	confidence=0.8428084418011877
Example:	Hans Heilbronn	guess=person	gold=	confidence=0.7399047574456293
Example:	Hans Reichenbach	guess=person	gold=	confidence=0.6580788466908362
Example:	Hassan II	guess=company	gold=	confidence=0.5805123942604471
Example:	Heather Locklear	guess=place	gold=	confidence=0.3349632178602764
Example:	Henri Lebesgue	guess=person	gold=	confidence=0.948908369703875
Example:	Henry Baker	guess=person	gold=	confidence=0.9661293998638023
Example:	Herakles	guess=place	gold=	confidence=0.45654363689395
Example:	Hercules	guess=person	gold=	confidence=0.4338845400065701
Example:	Hermann Kober	guess=person	gold=	confidence=0.8252627804793367
Example:	Honore Dutrey	guess=person	gold=	confidence=0.48795040087314157
Example:	Honorius I	guess=person	gold=	confidence=0.5118523111732223
Example:	Horace Smith-Dorrien	guess=drug	gold=	confidence=0.5690559124092718
Example:	Howard Martin Temin	guess=movie	gold=	confidence=0.5461673566951102
Example:	Howard Stern	guess=person	gold=	confidence=0.29937464064851077
Example:	Hugh Duffy	guess=person	gold=	confidence=0.4453592344887906
Example:	Iivo H�rk�nen	guess=person	gold=	confidence=0.5274928113142702
Example:	Innocent II	guess=company	gold=	confidence=0.8641763677092638
Example:	Ir�ne�-Jules Bienaym�	guess=person	gold=	confidence=0.5222550329777148
Example:	Isaac Newton	guess=company	gold=	confidence=0.4198190978940908
Example:	Isacc Asimov	guess=company	gold=	confidence=0.5173192568036035
Example:	Issai Schur	guess=person	gold=	confidence=0.43063010075201896
Example:	Iurii Linnik	guess=person	gold=	confidence=0.5661787232927188
Example:	J. L. Runeberg	guess=person	gold=	confidence=0.8375183402583974
Example:	Jacob Cooper	guess=person	gold=	confidence=0.4330859613011314
Example:	Jacob Nielsen	guess=person	gold=	confidence=0.6292819447779303
Example:	James H. Curry	guess=person	gold=	confidence=0.9544301432949743
Example:	James K. Polk	guess=person	gold=	confidence=0.9657892211479281
Example:	James M. Kelly	guess=person	gold=	confidence=0.9800818104791292
Example:	James Spader	guess=person	gold=	confidence=0.9025584968076703
Example:	James Sylvester	guess=person	gold=	confidence=0.9321615860086198
Example:	Jan van Eyck	guess=person	gold=	confidence=0.7881295773724366
Example:	Jean Argand	guess=person	gold=	confidence=0.9314016395566186
Example:	Jean Duhamel	guess=person	gold=	confidence=0.9369032735542641
Example:	Jean Richer	guess=person	gold=	confidence=0.9560159370534259
Example:	Jean-Loup Chr�tien	guess=person	gold=	confidence=0.9197131983315654
Example:	Jennifer Lopez	guess=person	gold=	confidence=0.5134709991222128
Example:	Jesse Douglas	guess=person	gold=	confidence=0.5874215045351711
Example:	Jesse Owens	guess=person	gold=	confidence=0.575364999207519
Example:	Jim Bottomley	guess=movie	gold=	confidence=0.4953788283313239
Example:	Jim Carey	guess=person	gold=	confidence=0.7100720106445579
Example:	Jimmy Smits	guess=person	gold=	confidence=0.5135432964633255
Example:	Joan Cusack	guess=person	gold=	confidence=0.600483547548793
Example:	Joan Rivers	guess=person	gold=	confidence=0.759504548894594
Example:	Joe Mcginnity	guess=person	gold=	confidence=0.6975877154925425
Example:	Joe Medwick	guess=person	gold=	confidence=0.6847328864690602
Example:	Johann Bernoulli	guess=person	gold=	confidence=0.9657785361404595
Example:	Johann Deisenhofer	guess=person	gold=	confidence=0.9314413107786286
Example:	Johannes Vilhelm Jensen	guess=person	gold=	confidence=0.9919451373934847
Example:	John Bernoulli	guess=person	gold=	confidence=0.9709125029909553
Example:	John Brown Gordon	guess=person	gold=	confidence=0.9693645683584645
Example:	John Burkill	guess=person	gold=	confidence=0.9759003711252936
Example:	John Clarkson	guess=person	gold=	confidence=0.942602328086499
Example:	John Dewey	guess=person	gold=	confidence=0.9491914926211612
Example:	John L. Phillips	guess=person	gold=	confidence=0.9488076777472723
Example:	John Leech	guess=person	gold=	confidence=0.9571976712435256
Example:	John Leland	guess=person	gold=	confidence=0.9542904856661812
Example:	John Lincoln	guess=person	gold=	confidence=0.9389923925173282
Example:	John M. Chivington	guess=person	gold=	confidence=0.9272828462786102
Example:	John Mccausland	guess=person	gold=	confidence=0.9242527369662639
Example:	John Slidell	guess=person	gold=	confidence=0.9588092354346596
Example:	John Tukey	guess=person	gold=	confidence=0.9376746254987701
Example:	John Whittaker	guess=person	gold=	confidence=0.9368353860025004
Example:	John Wilson	guess=person	gold=	confidence=0.9645614941840375
Example:	John Wishart	guess=person	gold=	confidence=0.9636961041131202
Example:	John XXI	guess=person	gold=	confidence=0.9833513731777442
Example:	John of Holywood	guess=person	gold=	confidence=0.8795507300175412
Example:	Johnny Bench	guess=person	gold=	confidence=0.956734728782483
Example:	Joris Hoefnagel	guess=movie	gold=	confidence=0.4852582446146667
Example:	Josef Goebbels	guess=person	gold=	confidence=0.8939432511755772
Example:	Joseph Doob	guess=person	gold=	confidence=0.8870950401726628
Example:	Joseph Joffre	guess=person	gold=	confidence=0.9294757190136054
Example:	Joseph Saurin	guess=person	gold=	confidence=0.9300142605670698
Example:	Joseph of Arimathea	guess=person	gold=	confidence=0.7088876814410165
Example:	Josif Shtokalo	guess=person	gold=	confidence=0.8088000495241345
Example:	Julia Bowman Robinson	guess=person	gold=	confidence=0.8149218969930683
Example:	Julio Rey Pastor	guess=person	gold=	confidence=0.8050664138466104
Example:	Justice Kennedy	guess=person	gold=	confidence=0.5003031767635361
Example:	Justice Rehnquist	guess=person	gold=	confidence=0.5716644688372154
Example:	J�rn Donner	guess=person	gold=	confidence=0.8270323576222407
Example:	K C Sreedharan Pillai	guess=person	gold=	confidence=0.6618154576830428
Example:	K. Alexander M�ller	guess=person	gold=	confidence=0.7904390179951244
Example:	Karl Rahner	guess=person	gold=	confidence=0.8665782113205813
Example:	Kate Kirby	guess=person	gold=	confidence=0.7710487073400837
Example:	Kate Winslet	guess=person	gold=	confidence=0.6170708121392117
Example:	Katharine Hepburn	guess=person	gold=	confidence=0.582886368459591
Example:	Kathryn Flanagan	guess=person	gold=	confidence=0.5015483215694796
Example:	Keith Stewartson	guess=person	gold=	confidence=0.3022138855796328
Example:	Kevin Costner	guess=person	gold=	confidence=0.46548560135437494
Example:	Kevin P. Chilton	guess=company	gold=	confidence=0.44883184448305313
Example:	King Kelly	guess=person	gold=	confidence=0.44343681644520083
Example:	Knut Hamsun	guess=person	gold=	confidence=0.5441610154423041
Example:	Konrad Knopp	guess=company	gold=	confidence=0.3695107743393961
Example:	Konrad Zuse	guess=person	gold=	confidence=0.5053981953041301
Example:	Kristie Hendrickson	guess=person	gold=	confidence=0.510302675238611
Example:	Ladislaus Bortkiewicz	guess=movie	gold=	confidence=0.47927970919359675
Example:	Lambert Quetelet	guess=place	gold=	confidence=0.38057840828247724
Example:	Larry King	guess=person	gold=	confidence=0.6346740686049127
Example:	Lars Olof Nathan S�derblom	guess=movie	gold=	confidence=0.6302621399932132
Example:	Lawrence Taylor	guess=movie	gold=	confidence=0.30743453905942947
Example:	Lee Remick	guess=movie	gold=	confidence=0.45229980563171107
Example:	Lena Horne	guess=person	gold=	confidence=0.40855698509750077
Example:	Leo VI	guess=person	gold=	confidence=0.9255526249829114
Example:	Leon M. Lederman Lederman	guess=person	gold=	confidence=0.9280261576223346
Example:	Leonard Wood	guess=person	gold=	confidence=0.8457606123207624
Example:	Leonhard Euler	guess=person	gold=	confidence=0.939111316733291
Example:	Leonid Vitaliyevich Kantorovich	guess=person	gold=	confidence=0.9107028415240928
Example:	Lewis Strauss	guess=person	gold=	confidence=0.5164096670061373
Example:	Linus Pauling	guess=person	gold=	confidence=0.43588577050913596
Example:	Lord Boyd Orr of Brechin	guess=person	gold=	confidence=0.7071732493397566
Example:	Louis Arbogast	guess=person	gold=	confidence=0.7292822243734858
Example:	Louis Riel	guess=person	gold=	confidence=0.8487326823941277
Example:	Louis Vierne	guess=person	gold=	confidence=0.900556771414903
Example:	Lucy Lawless	guess=person	gold=	confidence=0.5008782391609728
Example:	Ludwig Quidde	guess=person	gold=	confidence=0.5299116949834527
Example:	Luigi Grandi	guess=person	gold=	confidence=0.6658174071674618
Example:	Luis Aparicio	guess=person	gold=	confidence=0.35348094215181236
Example:	L�szl� Kalm�r	guess=person	gold=	confidence=0.626425072833686
Example:	L�on Victor Auguste Bourgeois	guess=movie	gold=	confidence=0.5877577469562676
Example:	Marcel Grossmann	guess=person	gold=	confidence=0.5852784516134059
Example:	Margaret Burbridge	guess=place	gold=	confidence=0.5054934798934444
Example:	Margaret Mead	guess=person	gold=	confidence=0.513529701709206
Example:	Margaret Sanger	guess=person	gold=	confidence=0.5108647082221057
Example:	Maria da Lourdes Pintasilgo	guess=person	gold=	confidence=0.5138596417965712
Example:	Marie Guillaumat	guess=person	gold=	confidence=0.6419723568187056
Example:	Marilyn Horne	guess=person	gold=	confidence=0.7629471018197227
Example:	Marilyn Whittemore	guess=person	gold=	confidence=0.48716312727697914
Example:	Mario Andretti	guess=person	gold=	confidence=0.5822311552423446
Example:	Mark L. Polansky	guess=person	gold=	confidence=0.7619822369055349
Example:	Martin Lawrence	guess=person	gold=	confidence=0.5791436291365505
Example:	Marton Taiga	guess=person	gold=	confidence=0.47231514844981515
Example:	Mary Somerville	guess=person	gold=	confidence=0.6400001407816486
Example:	Mary Todd Lincoln	guess=person	gold=	confidence=0.6184283420959622
Example:	Matthew B. Ridgway	guess=person	gold=	confidence=0.5878022654100231
Example:	Mauri Sariola	guess=person	gold=	confidence=0.5960645969132562
Example:	Melchior Broederlam	guess=person	gold=	confidence=0.32397051206704136
Example:	Melvin Calvin	guess=person	gold=	confidence=0.37641675557076565
Example:	Mia Farrow	guess=person	gold=	confidence=0.40710667319513094
Example:	Michael A. Baker	guess=person	gold=	confidence=0.8531635250360982
Example:	Michael Faraday	guess=person	gold=	confidence=0.6569918499484795
Example:	Michael J. Bloomfield	guess=person	gold=	confidence=0.8693305061022316
Example:	Michael J. McCulley	guess=person	gold=	confidence=0.959334068181367
Example:	Michael P. Anderson	guess=person	gold=	confidence=0.7959253029240467
Example:	Michel Rolle	guess=person	gold=	confidence=0.7858739299645918
Example:	Mickey Mantle	guess=person	gold=	confidence=0.6878320098844117
Example:	Miguel Angel Asturias	guess=person	gold=	confidence=0.4239599701172861
Example:	Millard Fillmore	guess=drug	gold=	confidence=0.3083236649683671
Example:	Miller Huggins	guess=person	gold=	confidence=0.38298482014880575
Example:	Mohamed Anwar El Sadat	guess=movie	gold=	confidence=0.6436704014023414
Example:	Monte Irvin	guess=company	gold=	confidence=0.34627752695224623
Example:	Mordred	guess=place	gold=	confidence=0.7331009782561636
Example:	Moritz Pasch	guess=drug	gold=	confidence=0.2892375138236604
Example:	Musab ibn Umayr	guess=movie	gold=	confidence=0.7547922797715122
Example:	Napoleon Bonaparte Buford	guess=movie	gold=	confidence=0.5637643967140745
Example:	Nasir Khwaja	guess=person	gold=	confidence=0.5176571676521797
Example:	Nathan Jacobson	guess=person	gold=	confidence=0.4940405342393903
Example:	Ned Kelly	guess=person	gold=	confidence=0.42919878919121945
Example:	Nellie Bly	guess=person	gold=	confidence=0.35585762489355477
Example:	Nick Green	guess=person	gold=	confidence=0.7173601510076381
Example:	Nicolaus Copernicus	guess=company	gold=	confidence=0.3761991555850489
Example:	Nicolaus Fuss	guess=person	gold=	confidence=0.6564748011930736
Example:	Niels Henrik Abels	guess=person	gold=	confidence=0.6588862965986201
Example:	Nikolay Nikolaevich Semenov	guess=movie	gold=	confidence=0.7904056179701484
Example:	Norman E. Thagard	guess=company	gold=	confidence=0.5944902620242959
Example:	Norman H. Schwarzkopf	guess=movie	gold=	confidence=0.2854092897778496
Example:	Olavi Paavolainen	guess=movie	gold=	confidence=0.49523708189601034
Example:	Oleksandr Sharkovsky	guess=movie	gold=	confidence=0.4587150301586846
Example:	Olga Cordero	guess=company	gold=	confidence=0.41374513315555084
Example:	Oliver O. Howard	guess=person	gold=	confidence=0.40098620775665333
